Year,Month,Unemployment rate
2017,1/1/17,5.4
2017,2/1/17,5.3
2017,3/1/17,5.1
2017,4/1/17,4.7
2017,5/1/17,4.0
2017,6/1/17,3.6
2017,7/1/17,3.4
2017,8/1/17,3.3
2017,9/1/17,3.0
2016,1/1/16,4.8
2016,2/1/16,4.7
2016,3/1/16,4.6
2016,4/1/16,4.6
2016,5/1/16,4.6
2016,6/1/16,4.7
2016,7/1/16,4.8
2016,8/1/16,4.8
2016,9/1/16,4.9
2016,10/1/16,5
2016,11/1/16,5
2016,12/1/16,5.1
2015,1/1/15,6.1
2015,2/1/15,6
2015,3/1/15,5.9
2015,4/1/15,5.8
2015,5/1/15,5.7
2015,6/1/15,5.6
2015,7/1/15,5.5
2015,8/1/15,5.3
2015,9/1/15,5.2
2015,10/1/15,5.1
2015,11/1/15,5
2015,12/1/15,4.9
